source,target,lag,score,p_value,coef,method,instruments,proxies
Y,X,1,0.41226836231626285,2.4554794275113078e-76,0.48527001616687815,proxy_adjusted,C,W
Y,X,2,0.2593431006722186,2.188882165315219e-31,0.3138002378555582,proxy_adjusted,C,W
W,X,1,0.3967242941255099,7.130454978044801e-83,0.8027835519948755,proxy_adjusted,C,Y
W,X,2,0.2565085155834204,4.535075215548265e-32,0.5050760612859062,proxy_adjusted,C,Y
Z,X,1,0.30340116313268056,7.786104564245022e-44,0.31221903035157916,ols,,
Z,X,2,0.19259167845998829,3.7977219499573785e-18,0.19826598232467985,ols,,
X,Y,1,0.7912741310050786,7.492984165510079e-134,1.4573660848434082,proxy_adjusted,,W
X,Y,2,0.6859867826706564,1.7036410000467828e-89,1.2168576915793998,proxy_adjusted,,W
W,Y,1,0.5117291071542378,0.0,1.9995532006467358,proxy_adjusted,,X;C
W,Y,2,0.4273138511418508,2.844453232172879e-262,1.730030762414801,proxy_adjusted,,X;C
Z,Y,2,0.13209400746732192,3.0896670472197856e-09,0.23888855734705697,ols,,
C,Y,1,0.19383262372277793,7.492984165514721e-134,-16.751254082946094,proxy_adjusted,,W
C,Y,2,0.1891112711178658,1.7036410000463527e-89,-13.973990113698283,proxy_adjusted,,W
X,W,1,0.2676391151563882,4.7291249485508926e-20,0.3371242092349085,proxy_adjusted,,Y
X,W,2,0.12761524769595992,6.912983246211146e-05,0.14757108757548193,proxy_adjusted,,Y
Y,W,1,0.20308541751049536,3.275130461910511e-29,0.2276086116781294,proxy_adjusted,,X;C
Y,W,2,0.08890281987670925,3.537019216810404e-07,0.10462638475080951,proxy_adjusted,,X;C
Y,C,1,0.08030530774894842,0.016205204510280728,-0.05982318884844525,proxy_adjusted,X,W
